OBJECTID,SubmitterOrganization,SubmitterPerson,Collector,InstitutionCode,CollectionCode,CatalogNumber,BasisOfRecord,Source,Family,Genus,ScientificName,Species,IdentifiedBy,IdentificationMethod,VerbatimCollectingDate,TimeCollected,Country,StateProvince,County,Locality,EarliestDateCollected,LatestDateCollected,DecimalLongitude,DecimalLatitude,CoordinateUncertaintyInMeters,VerbatimCoordinates,IndividualCount,Sex,LifeStage,Remarks,HabitatType,CollectingMethod,VerbatimHostName,HostScientificName,HostCommonName,HostIndividualCount,HostCountInfested,AssociatedParasite,NumberSpecimensParasiteTested,IdentificationMethodForParasite,NumberParasitePositive,ParasiteTestedBy,EarliestYearCollected,x,y
203720,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0233,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus sanguineus,sanguineus,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Imereti,Kutaisi,Kutaisi,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,42.71692,42.24147,3774,"42.24147, 42.71692",8,8M,Adult,"Tick Attached to Animal; german short hair pointer, base dog; Urban, Village or Military Base Housing",,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,42.7169189450001,42.241516113
203721,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0226,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",1,1F,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203722,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0228,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",2,2M,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203723,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0229,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis parva,parva,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",6,6F,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203724,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0229,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis parva,parva,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",5,5M,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203725,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0225,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor reticulatus,reticulatus,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",4,4F,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203726,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0227,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor reticulatus,reticulatus,"B. Knott, T. Chunashvili",,4/12/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,4/12/2019 12:00:00 AM,4/12/2019 12:00:00 AM,43.62813,41.99184,3774,"41.99184, 43.62813",3,3M,Adult,"Tick dragField - Unmowed, roadside ",Vegetation,Dragging,,,,,,,,,,,2019,43.6281127930001,41.9918823240001
203889,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0233,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Ixodes,Ixodes ricinus,ricinus,T. Chunashvili,,4/16/2019,,Georgia,Tbilisi,Tbilisi_Saburtalo,Avchala,4/16/2019 12:00:00 AM,4/16/2019 12:00:00 AM,44.77803,41.808622,3774,"41.808622, 44.77803",1,1N,Nymph,Tick Attached to Animal; Family pet. McCown house; House,,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,44.7780761720001,41.8087158200001
204019,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0277,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus turanicus,turanicus,B. Knott,,4/29/2019,,Georgia,Kakheti,Qvareli,Akhalsopheli,4/29/2019 12:00:00 AM,4/29/2019 12:00:00 AM,45.976867,41.91035,3774,"41.9103496808205, 45.9768665581941",13,13F,Adult,"Tick Attached to Animal; Summer house garden; Urban, Village or Military Base Housing",,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,45.9769287110001,41.9102783200001
204020,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0278,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus turanicus,turanicus,B. Knott,,4/29/2019,,Georgia,Kakheti,Qvareli,Akhalsopheli,4/29/2019 12:00:00 AM,4/29/2019 12:00:00 AM,45.976867,41.91035,3774,"41.9103496808205, 45.9768665581941",11,11M,Adult,"Tick Attached to Animal; Summer house garden; Urban, Village or Military Base Housing",,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,45.9769287110001,41.9102783200001
204021,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0279,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus turanicus,turanicus,B. Knott,,4/29/2019,,Georgia,Kakheti,Qvareli,Akhalsopheli,4/29/2019 12:00:00 AM,4/29/2019 12:00:00 AM,45.976867,41.91035,3774,"41.9103496808205, 45.9768665581941",2,2N,Nymph,"Tick Attached to Animal; Summer house garden; Urban, Village or Military Base Housing",,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,45.9769287110001,41.9102783200001
204182,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0294,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Ixodes,Ixodes ricinus,ricinus,"B. Knott, T. Chunashvili",,5/1/2019,,Georgia,Kvemo Kartli,Gardabani,Norio,5/1/2019 12:00:00 AM,5/1/2019 12:00:00 AM,44.922409,41.776944,3774,"41.7769439426179, 44.9224094006824",1,1N,Nymph,Tick Drag,,Dragging,,,,,,,,,,,2019,44.9224853520001,41.776916504
204272,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0297a,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus turanicus,turanicus,"B. Knott, T. Chunashvili",,5/3/2019,,Georgia,Kvemo Kartli,Rustavi,Rustavi,5/3/2019 12:00:00 AM,5/3/2019 12:00:00 AM,44.990808,41.547787,31,"41.547787, 44.990808",8,8M,Adult,Tick Attached to Animal; dog park type of area; Field - Mowed,,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,44.9909057620001,41.547912598
204273,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0297a,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Rhipicephalus,Rhipicephalus turanicus,turanicus,"B. Knott, T. Chunashvili",,5/3/2019,,Georgia,Kvemo Kartli,Rustavi,Rustavi,5/3/2019 12:00:00 AM,5/3/2019 12:00:00 AM,44.990808,41.547787,31,"41.547787, 44.990808",6,6F,Adult,Tick Attached to Animal; dog park type of area; Field - Mowed,,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,44.9909057620001,41.547912598
204399,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0349,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor reticulatus,reticulatus,"B. Knott, T. Chunashvili",,5/20/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,5/20/2019 12:00:00 AM,5/20/2019 12:00:00 AM,43.626437,41.991525,3774,"41.991524898888, 43.6264366822702",1,1F,Adult,Tick DragField - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.626525879,41.991516113
204400,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0349,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor reticulatus,reticulatus,"B. Knott, T. Chunashvili",,5/20/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,5/20/2019 12:00:00 AM,5/20/2019 12:00:00 AM,43.626437,41.991525,3774,"41.991524898888, 43.6264366822702",1,1M,Adult,Tick DragField - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.626525879,41.991516113
204401,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0349,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Ixodes,Ixodes ricinus,ricinus,"B. Knott, T. Chunashvili",,5/20/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,5/20/2019 12:00:00 AM,5/20/2019 12:00:00 AM,43.626437,41.991525,3774,"41.991524898888, 43.6264366822702",,M,Adult,Tick DragField - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.626525879,41.991516113
204402,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0349,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis sulcata,sulcata,"B. Knott, T. Chunashvili",,5/20/2019,,Georgia,Shida Kartli,Khashuri,Khashuri,5/20/2019 12:00:00 AM,5/20/2019 12:00:00 AM,43.626437,41.991525,3774,"41.991524898888, 43.6264366822702",4,4F,Adult,Tick DragField - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.626525879,41.991516113
204403,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0438,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis parva,parva,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.1121,41.649485,3774,"41.649485, 43.1121",4,4F,Adult,Tick Attached to Animal; multiple ""mascots"" dogs at the range. Hang out at the range control building; Field - Mowed,,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,43.112121582,41.649475098
204404,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,,USAMRD-G,19-0438,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.1121,41.649485,3774,"41.649485, 43.1121",1,1M,Adult,Tick Attached to Animal; multiple ""mascots"" dogs at the range. Hang out at the range control building; Field - Mowed,,Crawling or attached to animal,Dog,Canius lupus familiaris,domestic dog,,,,,,,,2019,43.112121582,41.649475098
204405,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0437,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.112868,41.649429,3774,"41.6494287245775, 43.1128680227647",1,1F,Adult,Tick Drag; Grassy field east of main OPS bldg.; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.1129150390001,41.649475098
204406,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0437,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.112868,41.649429,3774,"41.6494287245775, 43.1128680227647",1,1M,Adult,Tick Drag; Grassy field east of main OPS bldg.; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.1129150390001,41.649475098
204407,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0439,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.115629,41.653784,3774,"41.6537844527653, 43.1156288886714",1,1M,Adult,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
204408,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0439,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis sulcata,sulcata,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.115629,41.653784,3774,"41.6537844527653, 43.1156288886714",6,6N,Nymph,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
204409,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0419,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Aspindza ,Rustavi,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.130358,41.616589,3774,"41.6165892966206, 43.1303575497538",4,4F,Adult,Tick Drag; potato field and roadside ; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.1304931640001,41.6166992190001
204410,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0419,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Aspindza ,Rustavi,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.130358,41.616589,3774,"41.6165892966206, 43.1303575497538",1,1M,Adult,Tick Drag; potato field and roadside ; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.1304931640001,41.6166992190001
204411,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0416,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Chacharaki,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.031838,41.639129,3774,"41.6391293065052, 43.0318376506423",1,1F,Adult,"Tick Drag; Roadside, tall grass; Roadside",Vegetation,Dragging,,,,,,,,,,,2019,43.0319213870001,41.6390991210001
204412,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0416,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/21/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Chacharaki,5/21/2019 12:00:00 AM,5/21/2019 12:00:00 AM,43.031838,41.639129,3774,"41.6391293065052, 43.0318376506423",1,1M,Adult,"Tick Drag; Roadside, tall grass; Roadside",Vegetation,Dragging,,,,,,,,,,,2019,43.0319213870001,41.6390991210001
204413,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0442,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112706,41.649056,3774,"41.6490558313993, 43.1127062063279",1,1F,Adult,Tick Drag; Grassy field east of main OPS bldg.; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.112670898,41.6491088870001
204414,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0442,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112706,41.649056,3774,"41.6490558313993, 43.1127062063279",1,1M,Adult,Tick Drag; Grassy field east of main OPS bldg.; Field - Unmowed,Vegetation,Dragging,,,,,,,,,,,2019,43.112670898,41.6491088870001
204415,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0447,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112419,41.647042,3774,"41.6470421318385, 43.1124190581966",2,2F,Adult,"Tick Drag; grassy field, un-mowed, small arms range; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1124877930001,41.6470947270001
204416,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0447,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112419,41.647042,3774,"41.6470421318385, 43.1124190581966",3,3F,Adult,"Tick Drag; grassy field, un-mowed, small arms range; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1124877930001,41.6470947270001
204417,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0447,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112419,41.647042,3774,"41.6470421318385, 43.1124190581966",1,1M,Adult,"Tick Drag; grassy field, un-mowed, small arms range; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1124877930001,41.6470947270001
204418,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,"B. Knott, T. Chunashvili, I. Skhirtladze, D. Futkaradze",USAMRD-G,19-0447,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis sulcata,sulcata,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.112419,41.647042,3774,"41.6470421318385, 43.1124190581966",1,1N,Nymph,"Tick Drag; grassy field, un-mowed, small arms range; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1124877930001,41.6470947270001
204419,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,B. Knott,USAMRD-G,19-0443,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.115598,41.653854,3774,"41.65385366119, 43.1155979561879",3,3F,Adult,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
204420,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,T. Chunashvili,USAMRD-G,19-0444,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Dermacentor,Dermacentor marginatus,marginatus,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.115598,41.653854,3774,"41.65385366119, 43.1155979561879",3,3M,Adult,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
204421,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,I. Skhirtladze,USAMRD-G,19-0445,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.115598,41.653854,3774,"41.65385366119, 43.1155979561879",4,4F,Adult,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
204422,U.S. Army Medical Research Directorate - Georgia (USAMRD-G) Walter Reed Army Institute of Research (WRAIR),MAJ Drew Reinbold-Wasson,D. Futkaradze,USAMRD-G,19-0446,,Human observation,GEIS P0031_19_GA_06.01 - VBD,Ixodidae,Haemaphysalis,Haemaphysalis punctata,punctata,"B. Knott, T. Chunashvili",,5/22/2019,,Georgia,Samtskhe-Javakheti,Akhaltsikhe ,Minadze,5/22/2019 12:00:00 AM,5/22/2019 12:00:00 AM,43.115598,41.653854,3774,"41.65385366119, 43.1155979561879",5,5M,Adult,"Tick Drag; grassy field, un-mowed, small structures and tents in the area; Field - Unmowed",Vegetation,Dragging,,,,,,,,,,,2019,43.1157226560001,41.6539306640001
